vento_vel,tamanho_medio,massaPM1,rainfall,massaPM2,massaPM4,numPM4,irr,massaPM10,numPM2,hora_minuto,tipo,temp,numPM1,vento_dir,numPM10,dia_mes_ano
2.66,0.46,2.83,0.0,0.09,0.0,0.0,0.0,0.0,0.06,200200,station,-127.0,23.35,315.0,0.0,20191022.0
0.0,0.47,3.06,0.0,0.1,0.0,0.0,0.0,0.0,0.07,200300,station,-127.0,25.28,315.0,0.0,20191022.0
0.0,0.48,3.39,0.0,0.11,0.0,0.0,0.0,0.0,0.08,200400,station,-127.0,27.93,315.0,0.0,20191022.0
0.0,0.49,3.59,0.0,0.12,0.0,0.0,0.0,0.0,0.08,200500,station,-127.0,29.63,315.0,0.0,20191022.0
1.33,0.49,3.71,0.0,0.12,0.0,0.0,0.0,0.0,0.08,200600,station,-127.0,30.59,315.0,0.0,20191022.0
1.33,0.49,3.13,0.0,0.1,0.0,0.0,0.0,0.0,0.07,200700,station,-127.0,25.81,315.0,0.0,20191022.0
2.66,0.5,3.19,0.0,0.11,0.0,0.0,0.0,0.0,0.07,200800,station,-127.0,26.36,315.0,0.0,20191022.0
2.66,0.52,3.63,0.0,0.12,0.0,0.0,0.0,0.0,0.08,200900,station,-127.0,29.94,315.0,0.0,20191022.0
2.66,0.51,3.25,0.0,0.11,0.0,0.0,0.0,0.0,0.07,201000,station,-127.0,26.83,315.0,0.0,20191022.0
2.66,0.51,3.21,0.0,0.11,0.0,0.0,0.0,0.0,0.07,201100,station,-127.0,26.5,315.0,0.0,20191022.0
5.32,0.52,3.81,0.0,0.13,0.0,0.0,0.0,0.0,0.09,201200,station,-127.0,31.44,315.0,0.0,20191022.0
2.66,0.51,3.79,0.0,0.13,0.0,0.0,0.0,0.0,0.09,201300,station,-127.0,31.3,315.0,0.0,20191022.0
0.0,0.5,5.85,0.0,0.19,0.0,0.0,0.0,0.0,0.13,201400,station,-127.0,48.29,315.0,0.0,20191022.0
1.33,0.49,5.5,0.0,0.18,0.0,0.0,0.0,0.0,0.12,201500,station,-127.0,45.36,315.0,0.0,20191022.0
2.66,0.5,4.57,0.0,0.15,0.0,0.0,0.0,0.0,0.1,201600,station,-127.0,37.72,315.0,0.0,20191022.0
2.66,0.51,4.65,0.0,0.15,0.0,0.0,1.17,0.0,0.11,201700,station,-127.0,38.35,315.0,0.0,20191022.0
0.0,0.5,4.49,0.0,0.15,0.0,0.0,0.0,0.0,0.1,201800,station,-127.0,37.04,315.0,0.0,20191022.0
0.0,0.5,4.41,0.0,0.15,0.0,0.0,0.0,0.0,0.1,201900,station,-127.0,36.35,315.0,0.0,20191022.0
0.0,0.49,3.97,0.0,0.13,0.0,0.0,0.0,0.0,0.09,202000,station,-127.0,32.78,315.0,0.0,20191022.0
0.0,0.49,4.21,0.0,0.14,0.0,0.0,0.0,0.0,0.1,202100,station,-127.0,34.7,315.0,0.0,20191022.0
