rainfall,tamanho_medio,vento_vel,massaPM1,massaPM2,irr,massaPM4,numPM4,massaPM10,numPM2,hora_minuto,tipo,temp,numPM1,vento_dir,numPM10,dia_mes_ano
0.75,10.64,0.42,3.92,0.13,0.0,0.0,0.0,0.0,0.09,190200,station,27.56,32.31,45.0,0.0,20191003.0
0.75,9.31,0.44,4.13,0.14,0.0,0.0,0.0,0.0,0.09,190300,station,27.44,34.08,45.0,0.0,20191003.0
0.75,13.3,0.44,3.9,0.13,0.0,0.0,0.0,0.0,0.09,190400,station,27.5,32.17,45.0,0.0,20191003.0
0.75,22.61,0.45,4.13,0.14,0.0,0.0,0.0,0.0,0.09,190500,station,27.38,34.05,90.0,0.0,20191003.0
0.75,7.98,0.45,4.17,0.14,0.0,0.0,0.0,0.0,0.09,190600,station,27.5,34.39,45.0,0.0,20191003.0
0.75,11.97,0.46,4.39,0.15,0.0,0.0,0.0,0.0,0.1,190700,station,27.44,36.19,90.0,0.0,20191003.0
0.75,9.31,0.46,4.41,0.15,0.0,0.0,0.0,0.0,0.1,190800,station,27.44,36.41,90.0,0.0,20191003.0
0.75,9.31,0.46,4.17,0.14,0.0,0.0,0.0,0.0,0.09,190900,station,27.44,34.39,90.0,0.0,20191003.0
0.75,10.64,0.46,4.5,0.15,0.0,0.0,0.0,0.0,0.1,191000,station,27.5,37.14,45.0,0.0,20191003.0
0.75,14.63,0.46,4.41,0.15,0.0,0.0,0.0,0.0,0.1,191100,station,27.38,36.4,90.0,0.0,20191003.0
0.75,18.62,0.45,4.14,0.14,0.0,0.0,0.0,0.0,0.09,191200,station,27.5,34.19,45.0,0.0,20191003.0
0.75,7.98,0.46,4.26,0.14,0.0,0.0,0.0,0.0,0.1,191300,station,27.5,35.17,135.0,0.0,20191003.0
0.75,7.98,0.45,3.87,0.13,0.0,0.0,0.0,0.0,0.09,191400,station,27.5,31.93,90.0,0.0,20191003.0
0.75,9.31,0.45,4.07,0.14,0.0,0.0,0.0,0.0,0.09,191500,station,27.38,33.61,90.0,0.0,20191003.0
0.75,5.32,0.46,3.56,0.12,0.0,0.0,0.0,0.0,0.08,191600,station,27.38,29.35,90.0,0.0,20191003.0
0.75,11.97,0.47,4.54,0.15,0.0,0.0,0.0,0.0,0.1,191700,station,27.5,37.48,90.0,0.0,20191003.0
0.75,7.98,0.46,4.29,0.14,0.0,0.0,0.0,0.0,0.1,191800,station,27.56,35.39,45.0,0.0,20191003.0
0.75,5.32,0.45,3.91,0.13,0.0,0.0,0.0,0.0,0.09,191900,station,27.38,32.23,45.0,0.0,20191003.0
0.75,7.98,0.45,4.27,0.14,0.0,0.0,0.0,0.0,0.1,192000,station,27.31,35.24,45.0,0.0,20191003.0
0.75,10.64,0.46,4.09,0.14,0.0,0.0,0.0,0.0,0.09,192100,station,27.44,33.75,45.0,0.0,20191003.0
0.75,7.98,0.47,4.11,0.14,0.0,0.0,0.0,0.0,0.09,192200,station,27.38,33.87,45.0,0.0,20191003.0
0.75,6.65,0.46,4.25,0.14,0.0,0.0,0.0,0.0,0.1,192300,station,27.44,35.04,90.0,0.0,20191003.0
0.75,2.66,0.45,4.24,0.14,0.0,0.0,0.0,0.0,0.1,192400,station,27.38,34.95,135.0,0.0,20191003.0
0.75,2.66,0.47,3.62,0.12,0.0,0.0,0.0,0.0,0.08,192500,station,27.38,29.89,315.0,0.0,20191003.0
0.75,3.99,0.48,3.49,0.12,0.0,0.0,0.0,0.0,0.08,192600,station,27.38,28.82,0.0,0.0,20191003.0
0.75,7.98,0.48,4.03,0.13,0.0,0.0,0.0,0.0,0.09,192700,station,27.56,33.25,90.0,0.0,20191003.0
0.75,15.96,0.48,4.01,0.13,0.0,0.0,0.0,0.0,0.09,192800,station,27.56,33.1,90.0,0.0,20191003.0
0.75,6.65,0.47,3.93,0.13,0.0,0.0,0.0,0.0,0.09,192900,station,27.56,32.42,0.0,0.0,20191003.0
0.75,2.66,0.47,4.01,0.13,0.0,0.0,0.0,0.0,0.09,193000,station,27.62,33.05,0.0,0.0,20191003.0
0.75,2.66,0.45,3.8,0.13,0.0,0.0,0.0,0.0,0.09,193100,station,27.44,31.38,0.0,0.0,20191003.0
0.75,5.32,0.45,3.49,0.12,0.0,0.0,0.0,0.0,0.08,193200,station,27.38,28.76,0.0,0.0,20191003.0
0.75,5.32,0.45,4.14,0.14,0.0,0.0,0.0,0.0,0.09,193300,station,27.44,34.14,45.0,0.0,20191003.0
0.75,5.32,0.43,3.54,0.12,0.0,0.0,0.0,0.0,0.08,193400,station,27.62,29.21,90.0,0.0,20191003.0
0.75,3.99,0.45,4.04,0.13,2.58,0.0,0.0,0.0,0.09,193500,station,27.5,33.3,90.0,0.0,20191003.0
0.75,7.98,0.45,4.04,0.13,0.0,0.0,0.0,0.0,0.09,193600,station,27.5,33.31,90.0,0.0,20191003.0
0.75,3.99,0.45,4.33,0.14,0.0,0.0,0.0,0.0,0.1,193700,station,27.56,35.75,90.0,0.0,20191003.0
0.75,5.32,0.48,3.82,0.13,0.0,0.0,0.0,0.0,0.09,193800,station,27.44,31.5,45.0,0.0,20191003.0
0.75,5.32,0.49,3.49,0.12,0.0,0.0,0.0,0.0,0.08,193900,station,27.5,28.76,45.0,0.0,20191003.0
0.75,13.3,0.49,3.99,0.13,0.0,0.0,0.0,0.0,0.09,194000,station,27.62,32.91,90.0,0.0,20191003.0
0.75,9.31,0.49,3.39,0.11,0.0,0.0,0.0,0.0,0.08,194100,station,27.69,28.0,90.0,0.0,20191003.0
