Dia,RL_Res_Min,RL_Res_1Q,RL_Res_Mdn,RL_Res_3Q,RegLin_Max,CoefEst_Intercept,CoefEst_irr_est,CoefEst_temp,CoefEst_numPM1,CoefEst_massaPM1,CoefEst_numPM2,CoefEst_massaPM2,CoefStdError_Intercept,CoefStdError_irr_est,CoefStdError_temp,CoefStdError_numPM1,CoefStdError_massaPM1,CoefStdError_numPM2,CoefStdError_massaPM2,CoefPValue_Intercept,CoefPValue_irr_est,CoefPValue_temp,CoefPValue_numPM1,CoefPValue_massaPM1,CoefPValue_numPM2,CoefPValue_massaPM2,R2,R2_ajust,Graus_Lib,Err_res_pad
20191107,-1091.314240886828,-186.47465309657628,-58.31187700364495,62.43471881168335,5140.5352955886965,-35.99226459420212,7.744738664922664,1.6935749108084543,1437.6171939554683,-11906.473913386566,1427.0094025992905,306.19833122350116,144.98425609121205,0.06407662531690422,1.0572138371377735,743.2550881768474,6163.4926911548455,4308.853042226743,4582.864664944869,0.8040111141484861,0,0.10960469903971386,0.05347197921509482,0.053773609497817634,0.7406028346739466,0.9467482535594114,0.9694388885028883,0.9689372013100492,731,477.3639404578055
20191108,-1096.9009958266558,-180.2290359084952,-57.673823515345404,71.2635181801572,5147.681269822217,-35.459753665246154,7.754901029442767,1.639570147964885,1415.827608695059,-11730.101715623301,1112.0214369507416,621.889458420453,142.50868645138652,0.06278316804208382,1.0406967594312329,717.2655591757681,5947.792679810729,4183.565004188835,4444.242502785227,0.8035636605612185,0,0.11557053239724767,0.04875455668347705,0.04895394450446173,0.7904603117852133,0.8887514439588238,0.9699433018661952,0.9694655795117506,755,470.6027910554032
20191109,-1095.2639363969417,-176.57898950813637,-56.90746368142243,66.84661275242694,5158.916203206677,-39.45766805179375,7.763005240341257,1.645610917076226,1282.4891736777317,-10623.710010069408,1116.89761221648,431.73671968352465,140.4453388894665,0.06167419453031912,1.0269568422097124,697.2755914486587,5781.440248744377,4049.3367420320847,4288.590360465039,0.7788258083837217,0,0.10946927662660598,0.06625354520078718,0.06650881774007777,0.7827576609456863,0.9198375290390667,0.9701038126373662,0.9696432808679804,779,464.645756207234
20191110,-1100.784875714794,-169.72575973588744,-56.393820880792575,62.89845334959157,5172.958975804916,-37.31129831742683,7.7764084414168355,1.6147017393987078,1278.4890684674854,-10586.252057495154,1479.9082357540965,52.77831038963084,138.38854231885972,0.060326163567008914,1.0131167372240615,679.3459630515391,5632.619320878234,3944.25581692853,4174.878717246479,0.7875275522241547,0,0.1113751681043466,0.06020546085278274,0.060544361791441896,0.7076063892640452,0.9899166489181976,0.9706273742900199,0.9701884309419255,803,458.75157325710666
20191111,-1097.6157410932856,-166.6835586476342,-55.555834486532476,62.8904964218267,5195.645479865135,-41.7502777469265,7.788555626463635,1.5716891176262842,1271.1999014136893,-10527.55168808746,1422.3350319463461,135.59480701355392,134.00668928388666,0.05850047807222224,1.0011682680246634,661.4710406198764,5484.330144286797,3868.064296709111,4091.662554599291,0.7554582600526173,0,0.1168313301766017,0.05497715759882379,0.055256112942918344,0.7131818132047374,0.9735715044464577,0.9713045326660561,0.970888153454439,827,453.7170355104049
20191112,-1097.263739710092,-165.1509486763999,-53.170741199373175,60.02397877168525,5205.624457881534,-47.69323574433059,7.7905464850171064,1.5403470516849316,1277.0265049264672,-10572.929969611947,1676.5024143412847,-114.44535896113219,131.97219661314335,0.05661130340975033,0.9870870505877961,641.7359912055542,5320.840225390399,3768.4777999679413,3989.892917600608,0.7178987370726917,0,0.11901410143273121,0.04691536574950627,0.04723387053998246,0.6565230526977124,0.9771234882395003,0.9722456438301602,0.9718542780557324,851,447.96388981666513
20191113,-1097.0394442563882,-162.2527071431529,-52.42532775594131,59.639033133508605,5215.797190926824,-51.128862255023975,7.798733763836786,1.5127418061014282,1226.4991864986434,-10152.84565484907,1772.945950345554,-275.14841336941373,128.62317909888787,0.05543058277387241,0.974239643489402,625.8295445544928,5188.625954776651,3680.044859917696,3891.1844342288614,0.6910891533355548,0,0.12084662986130484,0.0503365423856846,0.05069452180755894,0.6300877417953646,0.9436441545136693,0.9727491291429632,0.9723754029140667,875,442.34962473407785
20191114,-1098.3227748199965,-156.81936418891982,-52.16248749688107,57.96767625983344,5223.926199094997,-18.31458980582603,7.806913705374463,1.4761454459334298,1170.59731446298,-9689.249521074722,1810.8452521527115,-372.86754203604613,120.69235719495748,0.054560984776918724,0.9622186511969176,607.918597714315,5040.2321588448995,3580.9439593850134,3789.1669719692477,0.8794212721068629,0,0.1253553973427594,0.05447168553294504,0.0548734889804921,0.6131987034624407,0.9216337789694127,0.972913160076176,0.9725516004776378,899,437.199170307879
20191115,-1092.0363360218466,-152.6422572309635,-51.81774781971677,52.453469734875604,5225.089373496913,-0.972363521006401,7.800612240236825,1.3725620810777865,1051.7050952351087,-8710.333097021912,1201.0641879412385,107.23958481752948,113.68460893363664,0.05335796719344027,0.9543989160166447,596.6474570796739,4946.859549477413,3513.0063966700764,3718.6423722048185,0.9931774910399591,0,0.15073245619560915,0.07828353329105989,0.07860670958366248,0.7325109814933138,0.9769997327749521,0.9733264683557172,0.9729796835456074,923,434.20070214716094
20191116,-1094.6430543750964,-151.6523886488723,-50.568264003680625,51.24913258995594,5222.1857977132395,12.084558835003964,7.80082099925613,1.2736453678369828,996.8997828409637,-8252.174188860736,1470.8595043343896,-257.41417441052573,112.44535765029036,0.051911264224034116,0.9456932886627608,583.4067047728104,4837.234687015969,3436.151202610928,3640.51633431563,0.9144384907547933,0,0.17837175592832333,0.08782379678245338,0.08834167490967769,0.6687088731644537,0.9436449631597121,0.9741449613592711,0.9738173367936018,947,431.0255340413582
