dia_mes_ano,m,hora_minuto,irradiacao,pm1_massa,pm2_massa,pm4_massa,pm10_massa,pm1_concentracao,pm2_concentracao,pm4_concentracao,pm10_concentracao,concentracao_media,temperatura,vento_dir,vento_vel,n
20191019,3,134500,59.52285714285715,4.588571428571429,0.1542857142857143,0,0,37.86142857142857,0.10428571428571429,0,0,0.43857142857142856,19.597142857142856,64.28571428571429,7.6000000000000005,7
20191022,2,173000,-17.943846153846152,0.9915384615384616,0.10076923076923078,0.05230769230769231,0.008461538461538461,8.082307692307692,0.09538461538461539,0.009230769230769232,0,0.5376923076923077,0,315,0.40923076923076923,13
20191022,3,174500,0,2.2575,1.0725,0.7525,0.12083333333333333,17.106666666666666,1.1183333333333334,0.13583333333333333,0.0225,0.6308333333333334,5.239166666666667,315,0.3325,12
20191022,0,180000,0.22357142857142856,3.4364285714285714,0.35,0.17857142857142858,0.028571428571428574,27.997142857142858,0.33071428571428574,0.03214285714285714,0.005714285714285714,0.5335714285714286,-105.88857142857142,315,0,14
20191022,1,181500,0,2.39,0.07866666666666666,0,0,19.715333333333334,0.054,0,0,0.512,-127,315,0,15
20191022,2,183000,0,2.3346666666666667,0.078,6.666666666666666e-4,0,19.266666666666666,0.05333333333333334,0,0,0.5033333333333333,-127,315,0.08866666666666667,15
20191022,3,184500,0,4.309333333333333,0.14400000000000002,0,0,35.56,0.09933333333333333,0,0,0.48066666666666663,-127,315,0.266,15
20191022,0,190000,0,4.986,0.16733333333333333,0,0,41.14,0.11333333333333333,0,0,0.47533333333333333,-127,315,0.266,15
20191022,1,191500,0.6,4.217333333333333,0.14,0,0,34.79333333333333,0.09666666666666666,0,0,0.49,-127,315,0,15
20191022,2,193000,0.8613333333333333,3.4513333333333334,0.114,0,0,28.470666666666666,0.07866666666666666,0,0,0.49866666666666665,-127,315,2.66,15
20191022,3,194500,0,3.0793333333333335,0.10200000000000001,0,0,25.402,0.06933333333333333,0,0,0.45733333333333337,-127,315,1.5073333333333334,15
20191022,0,200000,0,3.5686666666666667,0.11866666666666667,0,0,29.448,0.08066666666666666,0,0,0.492,-127,315,1.6846666666666668,15
20191022,1,201500,0.078,4.426,0.14666666666666667,0,0,36.504666666666665,0.1,0,0,0.48933333333333334,-127,315,1.596,15
