dia_mes_ano,hora_minuto,P_AC,I_AC,I_DC,V_AC,V_DC,IRR
20200402,121300,8172,36.68,17.21,222.7,483.5,1059
20200402,121400,8178,36.67,17.24,222.8,483.4,1062
20200402,121500,8205,36.8,17.12,222.9,488.1,1064
20200402,121600,8207,36.79,17.12,222.9,488.1,1062
20200402,121700,8200,36.78,16.81,222.9,497.5,1062
20200402,121800,8232,36.96,16.86,222.6,497.3,1067
20200402,121900,8248,37.03,16.88,222.8,497.2,1074
20200402,122000,8271,37.07,16.79,223.1,501.2,1083
20200402,122100,8277,37.09,16.58,223.1,509.1,1094
20200402,122200,8275,37.1,16.75,223,502.7,1093
20200402,122300,8277,37.11,16.48,223,510.1,1099
20200402,122400,8277,37.14,16.32,222.8,517,1117
20200402,122500,2591,12.03,4.97,216.5,497.5,324
20200402,122600,1668,7.74,3.5,215.6,483,214
20200402,122700,1737,8.07,3.58,215.5,492,219
20200402,122800,1872,8.63,3.78,215.3,501.4,232
20200402,122900,1941,9.03,3.92,215.5,502.8,239
20200402,123000,1917,8.86,3.79,215.9,510.9,234
20200402,123100,1731,8.03,3.45,215.7,511.6,208
20200402,123200,1653,7.68,3.29,215.7,514.5,199
20200402,123300,1621,7.54,3.2,215.3,515.6,194
20200402,123400,8279,37.16,14.29,222.7,586,1019
20200402,123500,8278,37.14,14.67,222.8,574.1,1109
20200402,123600,8278,37.14,14.8,222.8,568.3,1108
20200402,123700,2079,10.5,4.63,216,513.7,234
20200402,123800,5454,21.2,7.76,218.3,548,878
20200402,123900,1674,7.72,3.27,215.2,512.8,205
20200402,124000,1722,8,3.4,215.4,520.6,203
20200402,124100,3711,17.11,7.71,217.7,552.4,797
20200402,124200,4371,12.44,4.49,216.6,542.1,925
20200402,124300,2169,9.99,4.22,215.8,521,258
20200402,124400,1998,9.3,3.89,215.4,526.1,237
20200402,124500,8280,37.18,14.31,222.6,586.3,1138
20200402,124600,8280,37.17,14.63,222.6,576.8,1155
20200402,124700,8282,37.2,14.79,222.5,569.8,1155
20200402,124800,8277,37.24,14.93,222.2,563.2,1147
20200402,124900,5802,27.1,13.99,219.7,523.3,372
20200402,125000,2487,12.15,5.62,215.9,512.1,299
20200402,125100,3456,15.66,6.07,217,533.8,694
20200402,125200,1875,8.72,3.74,215.2,506.6,229
20200402,125300,1828,8.5,3.62,214.9,515.9,222
20200402,125400,1815,8.47,3.59,214.7,518.9,217
20200402,125500,1809,8.44,3.5,214.6,521.6,214
20200402,125600,1794,8.36,3.44,214.7,531.1,213
20200402,125700,1740,8.1,3.35,214.8,526.5,205
20200402,125800,1716,8.01,3.32,214.8,530.3,202
20200402,125900,1788,8.35,3.4,214.7,531.9,210
20200402,130000,1949,9.15,3.77,214.8,534.4,225
20200402,130100,2019,9.41,3.82,215,540.5,234
20200402,130200,2061,9.59,3.88,215,539.8,239
20200402,130300,2049,9.54,3.84,214.8,537.5,237
20200402,130400,2082,9.72,3.95,214.5,538.9,240
20200402,130500,2131,9.94,4,214.6,538.8,245
20200402,130600,2160,10.04,4.08,214.9,537,246
20200402,130700,2154,10.07,4.07,214.9,540.5,246
20200402,130800,8264,37.23,14.53,221.6,575.6,1048
20200402,130900,2436,11.64,4.48,214.9,554.9,315
20200402,131000,4086,18.86,6.72,216.6,540.6,443
20200402,131100,2841,13.2,5.25,215.5,545.6,328
20200402,131200,8278,37.33,13.76,221.7,609.9,1070
20200402,131300,8280,37.34,13.91,221.6,604.5,1204
20200402,131400,8280,37.38,14.25,221.4,593,1196
20200402,131500,8277,37.38,14.41,221.4,582.5,1190
20200402,131600,8279,37.37,14.65,221.5,574.3,1195
20200402,131700,4977,31.89,14.81,219.9,548.3,432
20200402,131800,8280,37.4,14.7,221.3,571.2,1208
20200402,131900,4033,18.58,8.17,216.4,516.4,447
20200402,132000,4338,20.01,8.7,216.8,514.8,631
20200402,132100,8277,37.16,15.23,222.7,549.7,1085
20200402,132200,8277,37.13,15.21,222.8,555.1,1141
20200402,132300,5151,16.79,6.61,217.6,521.3,1088
20200402,132400,8277,37.17,15.3,222.6,556.5,1153
20200402,132500,2964,13.7,6.01,216.4,513.9,356
20200402,132600,6093,27.68,9.03,220,512.3,946
20200402,132700,2398,11.12,4.73,215.9,513.5,295
20200402,132800,2505,11.71,4.99,216.2,514.5,299
20200402,132900,2283,10.53,4.44,215.9,516,278
20200402,133000,2140,9.9,4.16,215.6,524.5,257
20200402,133100,2007,9.29,3.89,215.5,518.9,239
20200402,133200,1947,9.04,3.77,215.6,524.5,232
20200402,133300,2010,9.37,3.9,215.7,529.7,239
20200402,133400,7144,32.22,14.98,221.6,561,895
20200402,133500,6096,20.15,6.08,218.2,550,902
20200402,133600,1926,8.95,3.74,215.3,526.5,229
20200402,133700,1956,9.08,3.73,215.4,530.2,232
20200402,133800,2097,9.72,3.97,215.8,538.4,248
20200402,133900,8277,37.16,14.68,222.6,574.6,1026
20200402,134000,2067,9.53,3.97,215.7,528.5,248
