dia_mes_ano,hora_minuto,irr,massaPM1,massaPM2,numPM1,numPM2,tamanho_medio,temp,vento_dir,vento_vel,massaPM4,massaPM10,numPM4,numPM10,rainfall,P_AC,I_AC,I_DC,V_AC,V_DC,IRR,P_DC
20200319,021800,0,6.58,0.22,54.25,0.15,0.48,22.94,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,021900,0,6.05,0.2,49.9,0.14,0.48,22.69,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,022000,0,6.21,0.21,51.21,0.14,0.48,22.69,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,022100,0,7.45,0.25,61.45,0.17,0.47,22.88,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,022200,0,7.41,0.25,61.17,0.17,0.48,22.94,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,022300,0,6.68,0.22,55.1,0.15,0.49,22.88,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,022400,0,7.48,0.25,61.72,0.17,0.51,23,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,022500,0,7.91,0.26,65.3,0.18,0.5,23,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,022600,0,7.81,0.26,64.46,0.18,0.49,22.94,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,022700,0,7.14,0.24,58.94,0.16,0.48,22.75,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,022800,0,7.34,0.24,60.57,0.17,0.51,22.5,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,022900,0,7.45,0.25,61.49,0.17,0.51,22.56,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,023000,0,6.52,0.22,53.82,0.15,0.5,22.5,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,023100,0,7.23,0.24,59.64,0.16,0.48,22.5,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,023200,0,7.78,0.26,64.15,0.18,0.5,22.5,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,023300,0,7.71,0.26,63.62,0.17,0.5,22.5,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,023400,0,8.47,0.28,69.9,0.19,0.48,22.38,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,023500,0,8.4,0.28,69.27,0.19,0.47,22.38,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,023600,0,8.47,0.28,69.85,0.19,0.5,22.25,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,023700,0,9.14,0.3,75.43,0.21,0.49,22.44,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,023800,0,9.36,0.31,77.24,0.21,0.48,22.38,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,023900,0,9.46,0.31,78.04,0.21,0.49,22.56,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,024000,0,11.65,0.42,96.08,0.29,0.54,22.38,225,0,0.02,0,0.01,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,024100,0,9.93,0.33,81.89,0.23,0.5,22.5,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,024200,0,12.36,0.41,101.93,0.28,0.52,22.44,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,024300,0,13.43,0.45,110.78,0.3,0.51,22.5,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,024400,0,12.06,0.4,99.53,0.27,0.49,22.5,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,024500,0,11.52,0.38,95.05,0.26,0.49,22.38,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
