"","dia","Vd1","Pd","Nloss","Vd2","m","x_gauss"
"75",20200106,0.020884133027933,7.389e-05,1.10835e-06,0.0208905454673917,0.763703349923787,0.149494525353219
"76",20200107,0.0208823890801221,7.418e-05,1.1127e-06,0.0208888015195808,0.76678919698823,0.150617057847536
"77",20200108,0.0208797243619364,7.446e-05,1.1169e-06,0.0208861368013952,0.769672880498242,0.151723690503253
"78",20200109,0.020883790995821,7.506e-05,1.1259e-06,0.0208902034352797,0.77596233099531,0.152868049269138
"79",20200110,0.020888601749701,7.627e-05,1.14405e-06,0.0208950141891598,0.788632399543445,0.154025668388394
"80",20200111,0.0208943663702716,7.708e-05,1.1562e-06,0.0209007788097303,0.79706134998223,0.155189727765758
"81",20200112,0.0208988755728976,7.738e-05,1.1607e-06,0.0209052880123564,0.800236634112231,0.156336792415853
"82",20200113,0.0209047196258825,7.766e-05,1.1649e-06,0.0209111320653412,0.803274701940058,0.157483129885712
"83",20200114,0.0209116828077896,7.801e-05,1.17015e-06,0.0209180952472483,0.806892007523311,0.158628732875797
"84",20200115,0.0209195410237778,7.848e-05,1.1772e-06,0.0209259534632365,0.811879985662451,0.159774850628465
"85",20200116,0.0209258375369992,7.907e-05,1.18605e-06,0.0209322499764579,0.817988916819018,0.160907773603335
"86",20200117,0.0209313212896535,7.955e-05,1.19325e-06,0.0209377337291122,0.823045022204814,0.162030525927522
"87",20200123,0.0209364238726993,8.342e-05,1.2513e-06,0.020942836312158,0.863531109785471,0.169577387000984
"88",20200124,0.020940361968368,8.393e-05,1.25895e-06,0.0209467744078267,0.868890855329464,0.170659540605057
"89",20200125,0.0209429277489735,8.443e-05,1.26645e-06,0.0209493401884322,0.874117488860236,0.171728310743235
"90",20200126,0.0209445706138994,8.504e-05,1.2756e-06,0.0209509830533581,0.880437432675662,0.172788571501555
"91",20200127,0.0209457166343336,8.562e-05,1.2843e-06,0.0209521290737923,0.886582544947172,0.173842984710257
"92",20200128,0.0209463616041466,8.643e-05,1.29645e-06,0.0209527740436053,0.894956873457977,0.174895037373618
"93",20200129,0.0209476487931647,8.696e-05,1.3044e-06,0.0209540612326234,0.900530086095779,0.175948336887343
"94",20200130,0.0209492701539043,8.713e-05,1.30695e-06,0.020955682593363,0.902483961025459,0.176995231930358
"95",20200131,0.0209495870086189,8.762e-05,1.3143e-06,0.0209559994480776,0.907588062779568,0.178029048402444
"96",20200201,0.0209493621781757,8.777e-05,1.31655e-06,0.0209557746176344,0.9092214096914,0.179050039507783
"97",20200202,0.0209482745479208,8.785e-05,1.31775e-06,0.0209546869873795,0.910091648994006,0.180054928037296
"98",20200203,0.0209465390331067,8.815e-05,1.32225e-06,0.0209529514725654,0.913249357476476,0.18104880810304
"99",20200204,0.0209448902830726,8.833e-05,1.32495e-06,0.0209513027225314,0.915159869742595,0.182035325503364
"100",20200205,0.020942748795671,8.857e-05,1.32855e-06,0.0209491612351298,0.917738371186427,0.183011365620945
"101",20200206,0.0209403715505238,8.873e-05,1.33095e-06,0.0209467839899825,0.919472060867946,0.183977740598724
"102",20200207,0.0209369928126576,8.93e-05,1.3395e-06,0.0209434052521163,0.925422455129485,0.184934847205165
"103",20200208,0.0209316842975175,9.071e-05,1.36065e-06,0.0209380967369762,0.939979668456767,0.185887680307908
"104",20200210,0.0209259303231376,9.147e-05,1.37205e-06,0.0209323427625963,0.948009818189926,0.188054387610958
"105",20200211,0.0209200116683842,9.159e-05,1.37385e-06,0.0209264241078429,0.949282148543525,0.188981872628415
"106",20200212,0.0209147765043992,9.17e-05,1.3755e-06,0.0209211889438579,0.950501540381222,0.189906451645749
"107",20200213,0.0209092378283521,9.193e-05,1.37895e-06,0.0209156502678108,0.952966422832943,0.190822416045648
"108",20200214,0.0209038982988786,9.222e-05,1.3833e-06,0.0209103107383373,0.956745600888817,0.191735475064461
"109",20200217,0.0208991210377597,9.37e-05,1.4055e-06,0.0209055334772184,0.972194423392017,0.19506071760337
"110",20200218,0.0208967182911876,9.387e-05,1.40805e-06,0.0209031307306463,0.974015416630321,0.195976039734461
"111",20200219,0.0208959165618347,9.396e-05,1.4094e-06,0.0209023290012934,0.975015766828206,0.196896515017138
"112",20200221,0.0208955139236477,9.482e-05,1.4223e-06,0.0209019263631064,0.984089366684954,0.19901074012121
"113",20200222,0.0208962596866815,9.544e-05,1.4316e-06,0.0209026721261403,0.990604212856674,0.199934358731496
"114",20200223,0.0208982500515273,9.591e-05,1.43865e-06,0.0209046624909861,0.995541011881837,0.200865805094671
"115",20200224,0.0209012365235858,9.619e-05,1.44285e-06,0.0209076489630445,0.998402636179042,0.201800615208754
"116",20200225,0.0209060411275575,9.628e-05,1.4442e-06,0.0209124535670162,0.999455442023482,0.202743436185795
"117",20200226,0.0209123108785551,9.663e-05,1.44945e-06,0.0209187233180138,1.00313482656293,0.203694756706341
