dia_mes_ano,hora_minuto,m,irradiacao,pm1_massa,pm2_massa,pm4_massa,pm10_massa,pm1_concentracao,pm2_concentracao,pm4_concentracao,pm10_concentracao,concentracao_media,temperatura,vento_dir,vento_vel,n.x,IRR,I_AC,V_AC,P_AC,I_DC,V_DC,n.y,P_DC
20191007,101500,1,285.24266666666665,4.872,0.162,0,0,40.186,0.11066666666666666,0,0,0.45066666666666666,22.716666666666665,153,3.458,15,301.2,13.593333333333334,218.52666666666667,2998.4,5.363333333333333,559.3666666666667,15,3000.0698888888887
20191007,103000,2,305.8666666666667,3.9653333333333336,0.13266666666666665,0,0,32.71,0.08933333333333333,0,0,0.44533333333333336,22.292,141,4.433333333333334,15,280.53333333333336,13.074,218.31333333333333,2853.0666666666666,5.0633333333333335,571.5266666666666,15,2893.8300222222224
20191007,104500,3,517.534,3.6633333333333336,0.122,0,0,30.221333333333334,0.08266666666666667,0,0,0.43933333333333335,23.178,108,9.132666666666667,15,459.6,20.970666666666666,220.92,4637.933333333333,8.332666666666666,564.9733333333334,15,4707.734462222223
20191007,110000,0,358.3546666666667,4.201333333333333,0.14066666666666666,0,0,34.660666666666664,0.094,0,0,0.446,22.929333333333332,135,5.32,15,328.3333333333333,15.138,219.79333333333332,3331.9333333333334,5.988666666666667,562.2466666666667,15,3367.1078711111113
20191007,111500,1,192.034,3.9693333333333336,0.13133333333333333,0,0,32.742,0.09066666666666667,0,0,0.446,22.475333333333335,183,5.054,15,186.86666666666667,8.639333333333333,217.04666666666668,1877.4,3.406,558.8733333333333,15,1903.5225733333334
20191007,113000,2,99.48866666666666,3.6526666666666667,0.122,0,0,30.121333333333332,0.08333333333333333,0,0,0.43466666666666665,22.036666666666665,177,1.064,15,110.6,4.967333333333333,216.59333333333333,1074.9333333333334,1.986,553.7133333333334,15,1099.67468
20191007,114500,3,31.665333333333333,5.3566666666666665,0.17933333333333334,0,0,44.18666666666667,0.12066666666666667,0,0,0.44333333333333336,20.910666666666668,201,8.778,15,43.6,1.7746666666666666,216.05333333333334,391.3333333333333,0.7726666666666667,524.2533333333333,15,405.0730755555556
20191007,120000,0,130.162,5.825333333333333,0.192,0,0,48.074666666666666,0.134,0,0,0.448,20.969333333333335,177,4.610666666666667,15,112.13333333333334,5.426,217.26666666666665,1176.0666666666666,2.0993333333333335,567.72,15,1191.8335200000001
20191007,121500,1,159.77466666666666,5.715333333333334,0.18866666666666668,0,0,47.147333333333336,0.12933333333333333,0,0,0.4613333333333333,21.818,162,3.014666666666667,15,154.46666666666667,7.168666666666667,217.70666666666668,1559.6666666666667,2.802,566.4666666666667,15,1587.2396
20191007,123000,2,457.6426666666667,5.791333333333333,0.192,0,0,47.78066666666667,0.132,0,0,0.45,23.671333333333333,135,4.256,15,404.26666666666665,18.474,220.89333333333335,4090.6,7.2973333333333334,570.3333333333334,15,4161.912444444445
