"","dia_mes_ano","hora_minuto","P_AC","I_AC","I_DC","V_AC","V_DC","IRR"
"345",20191116,93500,7937,35.38,15.67,224.3,512,957
"346",20191116,93600,7935,35.32,15.81,224.5,508.5,959
"347",20191116,93700,7938,35.34,15.94,224.5,509.4,960
"348",20191116,93800,7959,35.38,15.98,224.3,507.5,963
"349",20191116,93900,7965,35.51,15.99,224.3,507.6,966
"350",20191116,94000,7982,35.51,15.78,224.6,515,969
"351",20191116,94100,7998,35.58,15.78,224.6,515.1,971
"352",20191116,94200,8019,35.68,15.95,224.6,508.4,972
"353",20191116,94300,8028,35.8,16.12,224.3,510.6,975
"354",20191116,94400,8028,35.75,15.87,224.5,515.2,977
"355",20191116,94500,8058,35.83,15.98,224.8,509,977
"356",20191116,94600,8073,35.9,16.07,224.9,511.3,978
"357",20191116,94700,8091,36.01,16.03,224.6,509.3,981
"358",20191116,94800,6408,28.69,13.47,222.9,432.8,984
"359",20191116,94900,8103,36.04,16.32,224.8,508.5,984
"360",20191116,95000,8130,36.14,16.41,225,505.3,988
"361",20191116,95100,8160,36.31,16.41,224.6,507.4,991
"362",20191116,95200,8166,36.28,16.39,225,507.4,992
"363",20191116,95300,8189,36.39,16.43,224.9,507.2,992
"364",20191116,95400,8188,36.36,16.45,225.1,507.1,994
"365",20191116,95500,8211,36.51,16.51,224.9,507.1,997
"366",20191116,95600,8229,36.55,16.54,225,506.8,998
"367",20191116,95700,8243,36.58,16.6,225.3,506.8,1000
"368",20191116,95800,8232,36.75,16.64,224,504.6,1000
"369",20191116,95900,8247,36.6,16.76,225.2,501.8,1003
"370",20191116,100000,8244,36.64,16.74,225,501.5,1004
"371",20191116,100100,8256,36.65,16.71,225.1,502.8,1010
"372",20191116,100200,8250,36.84,16.63,223.8,504.4,1012
"373",20191116,100300,8232,36.81,16.73,223.6,501.9,1012
"374",20191116,100400,8256,36.97,16.77,223.4,501.9,1015
"375",20191116,100500,8217,36.81,16.47,223.3,508,1015
"376",20191116,100600,8190,36.68,16.45,223.2,508.4,1015
"377",20191116,100700,8182,36.64,16.56,223.3,503.2,1010
"378",20191116,100800,8184,36.66,16.43,223.2,508.1,1010
"379",20191116,100900,8242,36.9,16.49,223.3,507.5,1015
"380",20191116,101000,8268,37.04,16.52,223.2,510,1018
"381",20191116,101100,8259,37.01,16.56,223,507.5,1018
"382",20191116,101200,8268,37.06,16.5,223.1,510.5,1024
"383",20191116,101300,8265,37.05,16.59,223,507.8,1029
"384",20191116,101400,8264,37.05,16.55,223.1,507.5,1030
"385",20191116,101500,8254,37.05,16.52,222.7,508.4,1033
"386",20191116,101600,8268,37.06,16.56,223,509.6,1035
"387",20191116,101700,8277,37.09,16.45,223.1,512.6,1036
"388",20191116,101800,8279,37.1,16.42,223.1,513.6,1038
"389",20191116,101900,8280,37.13,16.37,222.9,515,1039
"390",20191116,102000,8278,37.08,16.32,223.2,516.8,1039
"391",20191116,102100,8277,37.08,16.37,223.2,515.8,1044
"392",20191116,102200,8277,37.07,16.45,223.3,514.5,1045
"393",20191116,102300,8282,37.08,16.13,223.3,522.2,1051
"394",20191116,102400,8280,37.09,16,223.2,527,1055
"395",20191116,102500,8280,37.09,15.96,223.2,528.4,1056
"396",20191116,102600,8280,37.12,15.9,223,529.5,1058
"397",20191116,102700,8280,37.07,15.87,223.3,530.7,1059
"398",20191116,102800,8280,37.07,15.9,223.3,530.1,1059
"399",20191116,102900,8283,37.11,16.07,223.1,525.4,1058
"400",20191116,103000,8280,37.16,16.11,222.8,522.8,1058
"401",20191116,103100,8282,37.12,16.2,223,520.3,1061
"402",20191116,103200,8281,37.13,16.24,222.9,519.2,1061
"403",20191116,103300,8281,37.13,16.19,223,520.3,1062
"404",20191116,103400,8277,37.14,16.11,222.8,522.9,1062
"405",20191116,103500,8279,37.15,15.99,222.8,527.8,1062
"406",20191116,103600,8280,37.15,15.8,222.8,534.8,1062
"407",20191116,103700,8277,37.22,15.78,222.4,535.5,1064
"408",20191116,103800,8280,37.17,15.79,222.7,533.7,1064
"409",20191116,103900,8280,37.16,15.83,222.7,532.8,1067
"410",20191116,104000,8280,37.16,15.85,222.7,531.1,1055
"411",20191116,104100,8282,37.21,15.89,222.5,531.1,1067
"412",20191116,104200,8279,37.18,15.82,222.6,532.3,1068
"413",20191116,104300,8277,37.16,15.84,222.8,532.2,1068
"414",20191116,104400,8278,37.14,15.83,222.8,532.5,1070
"415",20191116,104500,8280,37.18,15.86,222.7,531.8,1071
"416",20191116,104600,8277,37.07,15.83,223.2,531.6,1071
