tipo,P_AC,I_DC,IRR,I_AC,V_AC,dia_mes_ano,V_DC,hora_minuto
inverter,7666.0,15.53,931.0,35.89,213.5,20191003.0,506.5,095900
inverter,7567.0,15.76,930.0,34.88,216.9,20191003.0,489.0,100000
inverter,7646.0,15.42,927.0,35.28,216.8,20191003.0,507.4,100100
inverter,7659.0,15.4,930.0,34.97,218.8,20191003.0,503.0,100200
inverter,7666.0,15.53,930.0,35.51,215.9,20191003.0,505.4,100300
inverter,7686.0,15.58,933.0,35.54,216.1,20191003.0,504.1,100400
inverter,7707.0,15.6,937.0,35.99,213.9,20191003.0,503.3,100500
inverter,7713.0,15.52,939.0,35.71,215.7,20191003.0,505.4,100600
inverter,7743.0,15.59,942.0,35.66,217.1,20191003.0,505.6,100700
inverter,7775.0,15.76,949.0,35.42,219.5,20191003.0,500.3,100800
inverter,7769.0,15.56,949.0,35.76,217.2,20191003.0,507.5,100900
inverter,7758.0,15.74,949.0,35.75,216.9,20191003.0,502.4,101000
inverter,7743.0,15.75,951.0,35.83,216.0,20191003.0,497.5,101100
inverter,7768.0,15.81,956.0,35.86,216.7,20191003.0,503.3,101200
inverter,7806.0,15.87,960.0,35.96,216.9,20191003.0,496.5,101300
inverter,7809.0,15.88,960.0,36.04,216.6,20191003.0,504.3,101400
inverter,7797.0,15.9,960.0,36.04,216.2,20191003.0,505.5,101500
inverter,7764.0,15.88,957.0,35.89,216.3,20191003.0,495.2,101600
inverter,7774.0,15.88,957.0,35.93,216.4,20191003.0,499.3,101700
inverter,7803.0,16.01,960.0,35.94,217.1,20191003.0,496.4,101800
inverter,7854.0,16.01,965.0,36.27,216.5,20191003.0,503.2,101900
inverter,7872.0,16.11,966.0,36.38,216.3,20191003.0,499.6,102000
inverter,7873.0,16.08,966.0,36.52,215.4,20191003.0,502.6,102100
inverter,7881.0,15.86,968.0,36.53,215.7,20191003.0,500.6,102200
inverter,7909.0,16.06,969.0,36.72,215.4,20191003.0,503.8,102300
inverter,7950.0,16.15,974.0,36.37,218.5,20191003.0,501.2,102400
inverter,7963.0,16.17,977.0,36.32,218.9,20191003.0,498.0,102500
inverter,7956.0,16.24,977.0,36.33,218.9,20191003.0,499.0,102600
inverter,7938.0,16.19,977.0,36.82,215.5,20191003.0,498.7,102700
inverter,7905.0,16.11,978.0,36.66,215.8,20191003.0,505.6,102800
inverter,7917.0,16.12,977.0,36.66,215.9,20191003.0,500.7,102900
inverter,7917.0,16.1,975.0,36.22,218.6,20191003.0,497.5,103000
