data,hora,irradiacao,pm1_massa,pm2_massa,pm4_massa,pm10_massa,pm1_concentracao,pm2_concentracao,pm4_concentracao,pm10_concentracao,concentracao_media,temperatura,vento_dir,vento_vel,rainfall,hum,n
20190906,200506,NA,10.326666666666666,10.671666666666667,10.671666666666667,10.671666666666667,85.19833333333334,85.43166666666666,85.43666666666667,85.43833333333333,0.5033333333333333,24.906666666666666,97.5,0.22166666666666668,NA,NA,6
20190906,200613,NA,10.441818181818181,10.791818181818181,10.791818181818181,10.791818181818181,86.14909090909092,86.38636363636364,86.38909090909091,86.39181818181818,0.5181818181818182,25.017272727272726,102.27272727272727,0.12090909090909091,NA,NA,11
20190906,200828,NA,9.58,9.9,9.9,9.9,79.04142857142857,79.26,79.26142857142857,79.26285714285714,0.5128571428571429,25.088571428571427,102.85714285714286,0.19,NA,NA,7
20190906,200936,NA,11.0075,11375,11375,11375,90.8175,91.0675,91.07000000000001,91075,0.51,25.25,90,0,NA,NA,4
20190906,210005,NA,8209,8482,8482,8482,67715,67.9,67902,67904,511,25813,36,1463,NA,NA,10
20190906,210227,NA,8.11,8382,8382,8382,66922,67104,67106,67.11,504,26076,18,3458,NA,NA,5
20190906,210334,NA,7921,8186,8186,8186,65362,65539,65544,65547,0.51,25863,27,3192,NA,NA,10
20190906,210548,NA,8.844000000000001,11034,12472,12696,70114,72344,72.60600000000001,72648,632,25838,18,5.32,NA,NA,5
20190906,210656,NA,7.83,8097,8.100999999999999,8.100999999999999,64602,64.78399999999999,64789,64791,521,25993,9,3458,NA,NA,10
20190906,210803,NA,7996,9276,10046,10166,64432,65.7,65.84,65866,0.56,25.887999999999998,18,2394,NA,NA,5
20190906,210910,NA,8352,8.63,8.63,8.63,68914,69102,69102,69106,506,26026,18,4788,NA,NA,5
20190906,220010,NA,9.422222222222222,9.737777777777778,9.737777777777778,9.737777777777778,77.74777777777777,77.9588888888889,77.96333333333334,77.96555555555555,0.5144444444444445,25.34777777777778,0,2.807777777777778,NA,NA,9
20190906,220229,NA,9564,9882,9882,9882,78896,79116,79122,79122,518,25336,0,2926,NA,NA,5
20190906,220336,NA,9.227777777777778,9.537777777777778,9.537777777777778,9.537777777777778,76.14333333333333,76.35555555555555,76.35666666666667,76.35888888888888,0.5166666666666667,25.29,0,2.068888888888889,NA,NA,9
20190906,220551,NA,9.413333333333334,9.731666666666666,9.731666666666666,9.731666666666666,77.67,77.88333333333333,77.88666666666667,77.88666666666667,0.5166666666666667,25.156666666666666,0,2.216666666666667,NA,NA,6
20190906,220658,NA,9.137272727272727,9.441818181818181,9.441818181818181,9.441818181818181,75.38363636363637,75.5909090909091,75.59454545454545,75.59636363636363,0.5172727272727273,25.312727272727273,0,2.901818181818182,NA,NA,11
20190906,220805,NA,8914,9212,9212,9212,73.54,73742,73.74600000000001,73.74600000000001,0.52,25088,0,2.66,NA,NA,5
20190906,220912,NA,9.098333333333333,9.406666666666666,9.406666666666666,9.406666666666666,75.09666666666666,75.30166666666666,75.30333333333333,75.30666666666667,0.5133333333333333,25.011666666666667,0,1.7733333333333334,NA,NA,6
20190906,230102,NA,7875,8139,8139,8139,64974,65152,65154,65156,0.53,24899,0,3.99,NA,NA,10
20190906,230210,NA,8.709999999999999,9,9,9,71.85142857142857,72.04857142857144,72.05,72.05142857142857,0.5071428571428571,24.830000000000002,0,3.8000000000000003,NA,NA,7
20190906,230319,NA,8.545555555555556,8.83,8.83,8.83,70.5,70.69444444444444,70.69444444444444,70.69555555555556,0.5177777777777778,24.945555555555554,0,3.546666666666667,NA,NA,9
20190906,230534,NA,8.61,8.898333333333333,8.898333333333333,8.898333333333333,71.04333333333334,71.23666666666666,71.24,71.24333333333334,0.5116666666666667,24.85333333333333,0,3325,NA,NA,6
20190906,230641,NA,8302,8581,8581,8581,68499,68.69,68.69,68691,522,24918,0,3192,NA,NA,10
20190906,230856,NA,8.578333333333333,8865,8865,8865,70.77166666666668,70965,70.96833333333333,70.97333333333333,0.5233333333333333,24.791666666666668,0,3.1033333333333335,NA,NA,6
20190906,231910,NA,8.017999999999999,8284,8284,8284,66144,66326,66326,66.33,528,24726,0,3724,NA,NA,5
20190906,84856,NA,4.5,4.66,4.67,4.68,37.08,37.2,37.2,37.2,0.57,23.38,135,0,NA,NA,1
20190906,85003,NA,4355,4.515000000000001,4525,4525,35945,36055,36065,36065,0.5549999999999999,23155,135,0,NA,NA,2
20190906,85920,NA,4.19,4.33,4.33,4.33,34.55,34.65,34.65,34.65,0.51,22.88,135,0,NA,NA,1
20190906,85235,NA,4.57,4.73,4.73,4.73,37715,37.82,37.82,37.82,0.55,23155,135,0,NA,NA,2
20190906,85450,NA,4.51,4.67,4.68,4.68,37.224999999999994,37335,37.34,37.34,565,23.12,135,0,NA,NA,2
20190906,90604,NA,3.93,4.06,4.06,4.06,32.4,32.49,32.49,32.49,0.56,22.88,90,0,NA,NA,1
20190906,90027,NA,4.243333333333333,4.383333333333333,4.383333333333333,4.383333333333333,35.00333333333333,35.1,35.1,35.1,0.5366666666666667,22.793333333333333,120,0,NA,NA,3
20190906,90134,NA,3.8899999999999997,4015,4015,4015,32.089999999999996,32.18,32.18,32.18,0.53,22.91,135,0,NA,NA,2
20190906,90349,NA,4.23,4365,4365,4365,34.864999999999995,34.96,34.96,34965,0.55,22.814999999999998,135,0,NA,NA,2
20190906,91502,NA,4.09,4.23,4.23,4.23,33.769999999999996,33.864999999999995,33.864999999999995,33.870000000000005,525,22.94,157.5,0,NA,NA,2
20190906,91718,NA,4.029999999999999,4165,4165,4165,33.239999999999995,33.33,33335,33335,535,23,135,0,NA,NA,2
20190906,91033,NA,4.06,4.193333333333333,4.193333333333333,4.193333333333333,33.49,33.583333333333336,33.583333333333336,33.583333333333336,0.5466666666666667,22.9,120,0,NA,NA,3
20190906,91248,NA,4.029999999999999,4165,4165,4165,33.269999999999996,33.36,33.36,33.36,0.55,22.91,112.5,0,NA,NA,2
20190906,92617,NA,3.95,4.09,4.09,4.09,32.62,32.71,32.71,32.72,0.54,22.75,135,0,NA,NA,1
20190906,92849,NA,3.88,4.01,4.01,4.01,32.02,32.11,32.11,32.11,0.54,22.81,135,0,NA,NA,1
20190906,93506,NA,4175,4.32,4.32,4.32,34465,34.56,34565,34565,0.54,22.56,135,0,NA,NA,2
20190906,93720,NA,4185,4.33,4.33,4.33,34.56,34655,34655,34.660000000000004,0.54,22655,112.5,0,NA,NA,2
20190906,93144,NA,3.9350000000000005,4.0649999999999995,4.0649999999999995,4.0649999999999995,32.46,32.55,32.55,32.55,0.53,22.685000000000002,135,0,NA,NA,2
20190906,93251,NA,4175,4315,4315,4315,34.45,34545,34545,34545,535,22.72,112.5,0,NA,NA,2
20190906,94335,NA,3.87,3.99,3.99,3.99,31.89,31.98,31.98,31.98,0.53,22.44,135,0,NA,NA,1
20190906,95147,NA,4.02,4.15,4.15,4.15,33.16,33.25,33.25,33.25,0.56,22.5,135,0,NA,NA,1
20190907,1001,NA,7.321666666666666,7.566666666666666,7.566666666666666,7.566666666666666,60.4125,60.57833333333333,60.58166666666666,60.583333333333336,0.46499999999999997,32.89666666666667,0,9.420833333333334,NA,NA,12
20190907,10515,NA,8251,9028,9.408999999999999,9468,67315,68.04,68111,68123,522,28787,0,8512,NA,NA,10
20190907,10944,NA,7.304444444444444,7.5488888888888885,7.5488888888888885,7.5488888888888885,60.26444444444444,60.43,60.43222222222222,60.43333333333333,0.47444444444444445,30.52,0,12.561111111111112,NA,NA,9
20190907,10045,NA,7575,7.8275,7.8275,7.8275,62.496249999999996,62.66875,62.67375,62675,0.47875,32.90625,0,9.14375,NA,NA,8
20190907,100615,NA,6.638888888888889,7.546666666666667,8.066666666666666,8.147777777777778,53.74444444444445,54.62888888888889,54.72222222222222,54.74,0.5577777777777778,35.83444444444444,0,11.231111111111112,NA,NA,9
20190907,100830,NA,6.937142857142857,7.17,7.17,7.17,57.24142857142857,57.39857142857143,57.4,57.402857142857144,0.47857142857142854,35.91285714285714,0,13.3,NA,NA,7
20190907,100938,NA,6.843333333333334,7.07,7.07,7.07,56.45666666666666,56.61,56.61333333333333,56.61666666666667,0.48666666666666664,35.85333333333333,0,18.62,NA,NA,3
