vento_vel,tamanho_medio,massaPM1,rainfall,massaPM2,massaPM4,numPM4,irr,massaPM10,numPM2,hora_minuto,tipo,temp,numPM1,vento_dir,numPM10,dia_mes_ano
2.66,0.45,1.94,0.0,0.06,0.0,0.0,0.0,0.0,0.04,15600,station,-127.0,15.98,315.0,0.0,20191023.0
3.99,0.45,2.01,0.0,0.07,0.0,0.0,0.0,0.0,0.05,15700,station,-127.0,16.6,315.0,0.0,20191023.0
0.0,0.45,1.9,0.0,0.06,0.0,0.0,0.0,0.0,0.04,15800,station,-127.0,15.71,315.0,0.0,20191023.0
0.0,0.45,1.84,0.0,0.06,0.0,0.0,0.0,0.0,0.04,15900,station,-127.0,15.21,315.0,0.0,20191023.0
0.0,0.46,1.88,0.0,0.06,0.0,0.0,0.0,0.0,0.04,20000,station,-127.0,15.53,315.0,0.0,20191023.0
0.0,0.45,1.78,0.0,0.06,0.0,0.0,0.0,0.0,0.04,20100,station,-127.0,14.68,315.0,0.0,20191023.0
0.0,0.45,2.06,0.0,0.07,0.0,0.0,0.0,0.0,0.05,20200,station,-127.0,16.99,315.0,0.0,20191023.0
0.0,0.44,1.96,0.0,0.07,0.0,0.0,0.0,0.0,0.04,20300,station,-127.0,16.18,315.0,0.0,20191023.0
2.66,0.43,1.73,0.0,0.06,0.0,0.0,0.0,0.0,0.04,20400,station,-127.0,14.26,315.0,0.0,20191023.0
2.66,0.43,2.4,0.0,0.08,0.0,0.0,0.0,0.0,0.05,20500,station,-127.0,19.76,0.0,0.0,20191023.0
2.66,0.43,1.75,0.0,0.06,0.0,0.0,0.0,0.0,0.04,20600,station,-127.0,14.42,315.0,0.0,20191023.0
2.66,0.43,1.81,0.0,0.06,0.0,0.0,0.0,0.0,0.04,20700,station,-127.0,14.96,315.0,0.0,20191023.0
3.99,0.42,1.71,0.0,0.06,0.0,0.0,0.0,0.0,0.04,20800,station,-127.0,14.07,0.0,0.0,20191023.0
2.66,0.43,2.31,0.0,0.08,0.0,0.0,0.0,0.0,0.05,20900,station,-127.0,19.04,315.0,0.0,20191023.0
0.0,0.43,1.61,0.0,0.05,0.0,0.0,0.0,0.0,0.04,21000,station,-127.0,13.28,315.0,0.0,20191023.0
