"","dia_mes_ano","hora_minuto","irr","massaPM1","massaPM2","massaPM4","massaPM10","numPM1","numPM2","numPM4","numPM10","tamanho_medio","temp","vento_dir","vento_vel","rainfall"
"1311",20200202,215200,0,1.93,0.06,0,0,15.89,0.04,0,0,0.47,24.75,270,0,0
"1312",20200202,215300,0,2.61,0.09,0,0,21.56,0.06,0,0,0.49,24.69,270,0,0
"1313",20200202,215400,0,2.29,0.08,0,0,18.85,0.05,0,0,0.48,24.69,270,0,0
"1314",20200202,215500,0,2.1,0.07,0,0,17.3,0.05,0,0,0.48,24.62,270,0,0
"1315",20200202,215600,0,2.28,0.08,0,0,18.84,0.05,0,0,0.51,24.69,270,0,0
"1316",20200202,215700,0,2.14,0.07,0,0,17.63,0.05,0,0,0.51,24.69,270,0,0
"1317",20200202,215800,0,1.94,0.06,0,0,15.98,0.04,0,0,0.51,24.75,270,0,0
"1318",20200202,215900,0,2.15,0.07,0,0,17.73,0.05,0,0,0.5,24.5,270,0,0
"1319",20200202,220000,0,2.32,0.08,0,0,19.12,0.05,0,0,0.49,24.75,270,0,0
"1320",20200202,220100,0,1.83,0.06,0,0,15.12,0.04,0,0,0.48,24.69,270,0,0
"1321",20200202,220200,0,2.16,0.07,0,0,17.78,0.05,0,0,0.5,24.56,270,0,0
"1322",20200202,220300,0,2.06,0.07,0,0,16.96,0.05,0,0,0.5,24.38,270,0,0
"1323",20200202,220400,0,1.85,0.06,0,0,15.25,0.04,0,0,0.5,24.31,270,0,0
"1324",20200202,220500,0,2.07,0.07,0,0,17.11,0.05,0,0,0.5,24.19,270,0,0
"1325",20200202,220600,0,2.25,0.07,0,0,18.56,0.05,0,0,0.49,24.25,270,0,0
"1326",20200202,220700,0,2.35,0.08,0,0,19.4,0.05,0,0,0.49,24.19,270,0,0
"1327",20200202,220800,0,2.25,0.07,0,0,18.56,0.05,0,0,0.49,24.5,270,0,0
"1328",20200202,220900,0,2.43,0.08,0,0,20.01,0.05,0,0,0.49,24.5,270,0,0
"1329",20200202,221000,0,1.56,0.05,0,0,12.89,0.04,0,0,0.5,24.56,270,0,0
"1330",20200202,221100,0,2.37,0.08,0,0,19.53,0.05,0,0,0.49,24.69,270,0,0
"1331",20200202,221200,0,1.99,0.07,0,0,16.42,0.05,0,0,0.49,24.94,270,2.66,0
"1332",20200202,221300,0,1.76,0.06,0,0,14.55,0.04,0,0,0.49,24.81,270,2.66,0
"1333",20200202,221400,0,1.48,0.05,0,0,12.18,0.03,0,0,0.49,24.94,270,2.66,0
"1334",20200202,221500,0,2.05,0.07,0,0,16.92,0.05,0,0,0.48,24.88,270,2.66,0
"1335",20200202,221600,0,1.86,0.06,0,0,15.33,0.04,0,0,0.48,24.69,270,1.33,0
"1336",20200202,221700,0,1.88,0.06,0,0,15.51,0.04,0,0,0.49,24.62,270,0,0
"1337",20200202,221800,0,2.1,0.07,0,0,17.3,0.05,0,0,0.48,24.69,270,0,0
"1338",20200202,221900,0,2.12,0.07,0,0,17.49,0.05,0,0,0.48,24.56,270,0,0
"1339",20200202,222000,0,1.81,0.06,0,0,14.97,0.04,0,0,0.48,24.62,270,0,0
"1340",20200202,222100,0,2.1,0.07,0,0,17.33,0.05,0,0,0.49,24.38,270,0,0
"1341",20200202,222200,0,1.85,0.06,0,0,15.26,0.04,0,0,0.49,24.38,270,0,0
"1342",20200202,222300,0,1.77,0.06,0,0,14.62,0.04,0,0,0.48,24.25,270,0,0
